mean,Date,year,month,day
92.96999999999996,2018-11-21,2018,11,21
101.27749999999996,2018-11-22,2018,11,22
99.00916666666667,2018-11-23,2018,11,23
96.18708333333336,2018-11-24,2018,11,24
98.01583333333332,2018-11-25,2018,11,25
102.72541666666666,2018-11-26,2018,11,26
94.82916666666665,2018-11-27,2018,11,27
108.11416666666672,2018-11-28,2018,11,28
104.10999999999997,2018-11-29,2018,11,29
98.84458333333333,2018-11-30,2018,11,30
88.45999999999998,2018-12-01,2018,12,1
89.57374999999998,2018-12-02,2018,12,2
95.51333333333334,2018-12-03,2018,12,3
101.11583333333333,2018-12-04,2018,12,4
92.61291666666666,2018-12-05,2018,12,5
107.97666666666669,2018-12-06,2018,12,6
115.63583333333331,2018-12-07,2018,12,7
108.72333333333334,2018-12-08,2018,12,8
136.6433333333333,2018-12-09,2018,12,9
151.22625000000002,2018-12-10,2018,12,10
179.14874999999995,2018-12-11,2018,12,11
177.59333333333336,2018-12-12,2018,12,12
190.84000000000006,2018-12-13,2018,12,13
194.27000000000007,2018-12-14,2018,12,14
198.10333333333335,2018-12-15,2018,12,15
201.81583333333336,2018-12-16,2018,12,16
200.1149999999999,2018-12-17,2018,12,17
201.5983333333334,2018-12-18,2018,12,18
209.60416666666666,2018-12-19,2018,12,19
222.79166666666654,2018-12-20,2018,12,20
224.1004166666667,2018-12-21,2018,12,21
231.0945833333333,2018-12-22,2018,12,22
236.9966666666667,2018-12-23,2018,12,23
236.38166666666675,2018-12-24,2018,12,24
158.87291666666673,2018-12-25,2018,12,25
244.81791666666663,2018-12-26,2018,12,26
269.05875000000003,2018-12-27,2018,12,27
295.85000000000014,2018-12-28,2018,12,28
301.0591666666667,2018-12-29,2018,12,29
325.26333333333343,2018-12-30,2018,12,30
344.58666666666664,2018-12-31,2018,12,31
295.30375000000004,2019-01-01,2019,1,1
335.84958333333356,2019-01-02,2019,1,2
371.5166666666668,2019-01-03,2019,1,3
375.7495833333333,2019-01-04,2019,1,4
359.6495833333333,2019-01-05,2019,1,5
314.05916666666656,2019-01-06,2019,1,6
334.11166666666674,2019-01-07,2019,1,7
358.8991666666666,2019-01-08,2019,1,8
323.30249999999995,2019-01-09,2019,1,9
330.52083333333337,2019-01-10,2019,1,10
342.8929166666667,2019-01-11,2019,1,11
292.2941666666666,2019-01-12,2019,1,12
256.05333333333334,2019-01-13,2019,1,13
268.31750000000005,2019-01-14,2019,1,14
252.35124999999994,2019-01-15,2019,1,15
220.20624999999998,2019-01-16,2019,1,16
244.1866666666668,2019-01-17,2019,1,17
218.08041666666668,2019-01-18,2019,1,18
191.21833333333336,2019-01-19,2019,1,19
169.3383333333334,2019-01-20,2019,1,20
196.05541666666667,2019-01-21,2019,1,21
217.64541666666662,2019-01-22,2019,1,22
222.35500000000005,2019-01-23,2019,1,23
291.02541666666656,2019-01-24,2019,1,24
326.92833333333346,2019-01-25,2019,1,25
286.31208333333325,2019-01-26,2019,1,26
240.3508333333334,2019-01-27,2019,1,27
306.2383333333332,2019-01-28,2019,1,28
296.87333333333345,2019-01-29,2019,1,29
298.4500000000001,2019-01-30,2019,1,30
311.99833333333333,2019-01-31,2019,1,31
310.6283333333334,2019-02-01,2019,2,1
275.7366666666666,2019-02-02,2019,2,2
279.1795833333333,2019-02-03,2019,2,3
291.4645833333332,2019-02-04,2019,2,4
304.82166666666654,2019-02-05,2019,2,5
312.72375,2019-02-06,2019,2,6
272.7150000000001,2019-02-07,2019,2,7
265.75166666666667,2019-02-08,2019,2,8
276.45000000000005,2019-02-09,2019,2,9
262.7620833333333,2019-02-10,2019,2,10
247.4883333333332,2019-02-11,2019,2,11
246.60291666666663,2019-02-12,2019,2,12
248.09916666666672,2019-02-13,2019,2,13
257.08,2019-02-14,2019,2,14
326.3949999999999,2019-02-15,2019,2,15
274.13916666666677,2019-02-16,2019,2,16
257.38208333333324,2019-02-17,2019,2,17
337.0666666666668,2019-02-18,2019,2,18
371.48166666666685,2019-02-19,2019,2,19
350.1325,2019-02-20,2019,2,20
348.16416666666674,2019-02-21,2019,2,21
376.9224999999999,2019-02-22,2019,2,22
378.2258333333334,2019-02-23,2019,2,23
322.58666666666664,2019-02-24,2019,2,24
361.72624999999994,2019-02-25,2019,2,25
292.07374999999996,2019-02-26,2019,2,26
338.38291666666663,2019-02-27,2019,2,27
310.9820833333334,2019-02-28,2019,2,28
319.55999999999995,2019-03-01,2019,3,1
333.5737500000001,2019-03-02,2019,3,2
296.6491666666666,2019-03-03,2019,3,3
322.16125000000017,2019-03-04,2019,3,4
317.9300000000001,2019-03-05,2019,3,5
320.6525,2019-03-06,2019,3,6
307.68874999999997,2019-03-07,2019,3,7
309.24750000000006,2019-03-08,2019,3,8
292.15625,2019-03-09,2019,3,9
272.95458333333346,2019-03-10,2019,3,10
278.10625,2019-03-11,2019,3,11
275.985,2019-03-12,2019,3,12
255.4429166666666,2019-03-13,2019,3,13
239.08041666666665,2019-03-14,2019,3,14
232.3891666666666,2019-03-15,2019,3,15
259.4750000000001,2019-03-16,2019,3,16
215.97375000000002,2019-03-17,2019,3,17
272.1508333333334,2019-03-18,2019,3,18
284.9583333333333,2019-03-19,2019,3,19
264.4637500000001,2019-03-20,2019,3,20
262.82124999999996,2019-03-21,2019,3,21
250.75916666666663,2019-03-22,2019,3,22
204.5545833333333,2019-03-23,2019,3,23
184.47958333333335,2019-03-24,2019,3,24
212.6575,2019-03-25,2019,3,25
249.11833333333342,2019-03-26,2019,3,26
246.01916666666673,2019-03-27,2019,3,27
226.5625,2019-03-28,2019,3,28
224.2508333333334,2019-03-29,2019,3,29
211.80833333333337,2019-03-30,2019,3,30
204.96416666666673,2019-03-31,2019,3,31
236.41333333333333,2019-04-01,2019,4,1
254.335,2019-04-02,2019,4,2
231.58916666666664,2019-04-03,2019,4,3
229.29208333333338,2019-04-04,2019,4,4
240.01749999999996,2019-04-05,2019,4,5
216.34,2019-04-06,2019,4,6
220.0341666666667,2019-04-07,2019,4,7
212.88750000000005,2019-04-08,2019,4,8
208.10833333333332,2019-04-09,2019,4,9
245.1308333333334,2019-04-10,2019,4,10
265.6375000000001,2019-04-11,2019,4,11
237.78666666666663,2019-04-12,2019,4,12
219.41083333333333,2019-04-13,2019,4,13
199.9091666666666,2019-04-14,2019,4,14
218.89083333333346,2019-04-15,2019,4,15
213.27249999999995,2019-04-16,2019,4,16
161.74625,2019-04-17,2019,4,17
169.42666666666662,2019-04-18,2019,4,18
158.61708333333328,2019-04-19,2019,4,19
123.89041666666668,2019-04-20,2019,4,20
105.45166666666667,2019-04-21,2019,4,21
173.41749999999993,2019-04-22,2019,4,22
186.18833333333328,2019-04-23,2019,4,23
138.42000000000004,2019-04-24,2019,4,24
151.35750000000002,2019-04-25,2019,4,25
111.37416666666671,2019-04-26,2019,4,26
134.40000000000006,2019-04-27,2019,4,27
124.44916666666661,2019-04-28,2019,4,28
154.69583333333338,2019-04-29,2019,4,29
151.30083333333343,2019-04-30,2019,4,30
135.29416666666665,2019-05-01,2019,5,1
185.72416666666666,2019-05-02,2019,5,2
209.77000000000007,2019-05-03,2019,5,3
218.7991666666666,2019-05-04,2019,5,4
212.36833333333325,2019-05-05,2019,5,5
265.97666666666674,2019-05-06,2019,5,6
275.03666666666675,2019-05-07,2019,5,7
280.2733333333332,2019-05-08,2019,5,8
293.52124999999995,2019-05-09,2019,5,9
247.4345833333333,2019-05-10,2019,5,10
211.37166666666667,2019-05-11,2019,5,11
183.81375,2019-05-12,2019,5,12
160.4845833333333,2019-05-13,2019,5,13
155.03500000000005,2019-05-14,2019,5,14
149.56666666666672,2019-05-15,2019,5,15
163.41250000000005,2019-05-16,2019,5,16
131.54333333333332,2019-05-17,2019,5,17
131.7291666666667,2019-05-18,2019,5,18
138.0645833333333,2019-05-19,2019,5,19
148.91999999999993,2019-05-20,2019,5,20
159.96666666666673,2019-05-21,2019,5,21
